PersonID,Age,Sex,RuralStatus
10000330,24 or 25 years old,Male,Large Metro
10000425,Between 35 and 49 years old,Female,Small metro
10002771,24 or 25 years old,Female,Large Metro
10005250,Between 26 and 29 years old,Male,Large Metro
10005432,Between 50 and 64 years old,Female,Small metro
10005739,Between 35 and 49 years old,Male,Small metro
10006882,Between 35 and 49 years old,Female,Small metro
10007088,24 or 25 years old,Female,Small metro
10007627,Between 21 and 23 years old,Male,Small metro
10007679,16 or 17 years old,Female,Large Metro
10008207,Between 50 and 64 years old,Female,Nonmetro
10008482,Between 18 and 20 years old,Female,Nonmetro
10008535,14 or 15 years old,Male,Large Metro
10008655,14 or 15 years old,Female,Small metro
10010735,Between 50 and 64 years old,Female,Nonmetro
10010784,Between 35 and 49 years old,Female,Nonmetro
10011606,12 or 13 years old,Female,Large Metro
10011953,Between 35 and 49 years old,Male,Large Metro
10012409,12 or 13 years old,Male,Large Metro
10014355,Between 50 and 64 years old,Female,Nonmetro
10015219,Between 30 and 34 years old,Male,Large Metro
10015242,24 or 25 years old,Male,Small metro
10015361,Between 35 and 49 years old,Female,Small metro
10015426,16 or 17 years old,Male,Large Metro
10015560,Between 35 and 49 years old,Female,Nonmetro
10016339,Between 21 and 23 years old,Female,Nonmetro
10018519,14 or 15 years old,Female,Large Metro
10018742,Between 18 and 20 years old,Male,Large Metro
10019703,Between 50 and 64 years old,Male,Nonmetro
10020029,24 or 25 years old,Female,Small metro
10020602,Between 30 and 34 years old,Female,Small metro
10021615,Between 18 and 20 years old,Male,Large Metro
10023564,12 or 13 years old,Female,Small metro
10024656,Between 35 and 49 years old,Male,Large Metro
10025269,65 years old or older,Male,Small metro
10025802,Between 35 and 49 years old,Female,Nonmetro
10028155,Between 35 and 49 years old,Female,Large Metro
10028531,Between 35 and 49 years old,Male,Small metro
10029055,Between 35 and 49 years old,Male,Nonmetro
10029115,Between 30 and 34 years old,Female,Large Metro
10029334,Between 35 and 49 years old,Female,Small metro
10031500,Between 18 and 20 years old,Female,Small metro
10032150,Between 26 and 29 years old,Male,Large Metro
10032169,Between 21 and 23 years old,Male,Small metro
10033332,Between 21 and 23 years old,Male,Nonmetro
10034135,Between 18 and 20 years old,Female,Large Metro
10034243,16 or 17 years old,Male,Small metro
10034327,Between 50 and 64 years old,Male,Large Metro
10034876,24 or 25 years old,Female,Nonmetro
10034884,Between 50 and 64 years old,Male,Large Metro
10035261,Between 21 and 23 years old,Female,Small metro
10035288,Between 21 and 23 years old,Female,Small metro
10035881,Between 26 and 29 years old,Female,Small metro
10037216,24 or 25 years old,Female,Nonmetro
10037225,Between 35 and 49 years old,Male,Nonmetro
10037447,Between 35 and 49 years old,Male,Large Metro
10039720,14 or 15 years old,Female,Large Metro
